ID;Unit;Civic number - Parcel;Street name - Parcel;Business name;Retail category;Year recorded;Geo Local Area;Geom;geo_point_2d
7541;23;1855;W 1ST AV;Da Vinci's;Comparison Goods;2021;Kitsilano;"{""coordinates"": [-123.14739153006724, 49.270943201023755], ""type"": ""Point""}";49.270943201023755, -123.14739153006724
7542;N/A;1855;W 1ST AV;Vacant;Vacant;2021;Kitsilano;"{""coordinates"": [-123.14739153006724, 49.270943201023755], ""type"": ""Point""}";49.270943201023755, -123.14739153006724
7550;1;1874;W 1ST AV;Westcoast Smile;Service Commercial;2021;Kitsilano;"{""coordinates"": [-123.14711119143038, 49.270435523055646], ""type"": ""Point""}";49.270435523055646, -123.14711119143038
7555;N/A;1888;W 1ST AV;The Cutting Room;Service Commercial;2021;Kitsilano;"{""coordinates"": [-123.14752979000461, 49.270442139621835], ""type"": ""Point""}";49.270442139621835, -123.14752979000461
7561;N/A;1909;W 1ST AV;Bombshell Hair Lounge;Service Commercial;2021;Kitsilano;"{""coordinates"": [-123.148206148779, 49.27095641099887], ""type"": ""Point""}";49.27095641099887, -123.148206148779
7570;N/A;1155;BUTE ST;BCLS #094 Bute Street;Convenience Goods;2021;West End;"{""coordinates"": [-123.13385410948923, 49.282483462561196], ""type"": ""Point""}";49.282483462561196, -123.13385410948923
7572;N/A;1162;BUTE ST;Vacant;Vacant;2021;West End;"{""coordinates"": [-123.13284144319113, 49.281790081083905], ""type"": ""Point""}";49.281790081083905, -123.13284144319113
7573;N/A;1170;BUTE ST;QMUNITY BC's Queer Resource;Service Commercial;2021;West End;"{""coordinates"": [-123.13284144319113, 49.281790081083905], ""type"": ""Point""}";49.281790081083905, -123.13284144319113
7576;N/A;1224;BUTE ST;Studio 16 Hair Design 2005;Service Commercial;2021;West End;"{""coordinates"": [-123.13340333258826, 49.28133614058899], ""type"": ""Point""}";49.28133614058899, -123.13340333258826
7580;N/A;1028;DAVIE ST;Donair D.K.;Food & Beverage;2021;West End;"{""coordinates"": [-123.13011087887637, 49.27930093103343], ""type"": ""Point""}";49.27930093103343, -123.13011087887637
7581;N/A;1030;DAVIE ST;Vera's Burger Shack;Food & Beverage;2021;West End;"{""coordinates"": [-123.13025857702435, 49.279396346539194], ""type"": ""Point""}";49.279396346539194, -123.13025857702435
7594;N/A;1053;DAVIE ST;Davie Village Home Hardware;Comparison Goods;2021;West End;"{""coordinates"": [-123.13031667175096, 49.28019355098428], ""type"": ""Point""}";49.28019355098428, -123.13031667175096
7597;N/A;1062;DAVIE ST;Simdy's Fashion Alterations;Service Commercial;2021;West End;"{""coordinates"": [-123.13094645381227, 49.27984192168704], ""type"": ""Point""}";49.27984192168704, -123.13094645381227
7601;N/A;1067;DAVIE ST;Fat Burger;Food & Beverage;2021;West End;"{""coordinates"": [-123.13056228417788, 49.28035250372187], ""type"": ""Point""}";49.28035250372187, -123.13056228417788
7603;N/A;1069;DAVIE ST;Vacant;Vacant;2021;West End;"{""coordinates"": [-123.13056228417788, 49.28035250372187], ""type"": ""Point""}";49.28035250372187, -123.13056228417788
7605;N/A;1076;DAVIE ST;Urban Villa;Comparison Goods;2021;West End;"{""coordinates"": [-123.13114328150091, 49.27996917728202], ""type"": ""Point""}";49.27996917728202, -123.13114328150091
7606;N/A;1091;DAVIE ST;Best Bite Donair;Food & Beverage;2021;West End;"{""coordinates"": [-123.1308543033358, 49.2803523694924], ""type"": ""Point""}";49.2803523694924, -123.1308543033358
7608;N/A;1098;DAVIE ST;Denny's;Food & Beverage;2021;West End;"{""coordinates"": [-123.1312904713275, 49.280064793527835], ""type"": ""Point""}";49.280064793527835, -123.1312904713275
7614;N/A;1107;DAVIE ST;Fit Camp Foods Inc;Convenience Goods;2021;West End;"{""coordinates"": [-123.13110285691802, 49.2807023501956], ""type"": ""Point""}";49.2807023501956, -123.13110285691802
7624;N/A;1138;DAVIE ST;Vacant;Vacant;2021;West End;"{""coordinates"": [-123.1322734939829, 49.28070089554156], ""type"": ""Point""}";49.28070089554156, -123.1322734939829
7629;N/A;1147;DAVIE ST;KFC Store #1802;Food & Beverage;2021;West End;"{""coordinates"": [-123.13223271677896, 49.281433952228184], ""type"": ""Point""}";49.281433952228184, -123.13223271677896
7633;N/A;1157;DAVIE ST;India Bistro & Bar;Food & Beverage;2021;West End;"{""coordinates"": [-123.13223271677896, 49.281433952228184], ""type"": ""Point""}";49.281433952228184, -123.13223271677896
