ID;Unit;Civic number - Parcel;Street name - Parcel;Business name;Retail category;Year recorded;Geo Local Area;Geom;geo_point_2d
1984;N/A;3504;W 4TH AV;Forerunners Enterprises;Comparison Goods;2020;Kitsilano;"{""coordinates"": [-123.18198147633284, 49.26829910736703], ""type"": ""Point""}";49.26829910736703, -123.18198147633284
1985;N/A;3510;W 4TH AV;Double DD Pizza;Food & Beverage;2020;Kitsilano;"{""coordinates"": [-123.1821886290571, 49.268302509426235], ""type"": ""Point""}";49.268302509426235, -123.1821886290571
1992;N/A;3570;W 4TH AV;Restore Human;Service Commercial;2020;Kitsilano;"{""coordinates"": [-123.1833630398489, 49.268321296539], ""type"": ""Point""}";49.268321296539, -123.1833630398489
1998;N/A;3598;W 4TH AV;Aphrodites Organic Pie Shop;Convenience Goods;2020;Kitsilano;"{""coordinates"": [-123.1833630398489, 49.268321296539], ""type"": ""Point""}";49.268321296539, -123.1833630398489
2001;N/A;3611;W 4TH AV;Vacant;Vacant;2020;Kitsilano;"{""coordinates"": [-123.18403436841272, 49.268860945244235], ""type"": ""Point""}";49.268860945244235, -123.18403436841272
2002;N/A;3615;W 4TH AV;Trulton Realty;Service Commercial;2020;Kitsilano;"{""coordinates"": [-123.18403436841272, 49.268860945244235], ""type"": ""Point""}";49.268860945244235, -123.18403436841272
2007;N/A;3629;W 4TH AV;Happy 3 Consignment Ltd;Comparison Goods;2020;Kitsilano;"{""coordinates"": [-123.18451808756963, 49.26886863466641], ""type"": ""Point""}";49.26886863466641, -123.18451808756963
2008;N/A;3630;W 4TH AV;Rugs & More;Comparison Goods;2020;Kitsilano;"{""coordinates"": [-123.18439961731059, 49.268352380423636], ""type"": ""Point""}";49.268352380423636, -123.18439961731059
2012;N/A;3642;W 4TH AV;Kestrel Books;Comparison Goods;2020;Kitsilano;"{""coordinates"": [-123.18467640301425, 49.2683571852624], ""type"": ""Point""}";49.2683571852624, -123.18467640301425
2014;N/A;3659;W 4TH AV;Vacant;Vacant;2020;Kitsilano;"{""coordinates"": [-123.18507120127674, 49.268877426184055], ""type"": ""Point""}";49.268877426184055, -123.18507120127674
2017;N/A;3662;W 4TH AV;Heritage Home Supplies;Comparison Goods;2020;Kitsilano;"{""coordinates"": [-123.18495301971518, 49.268361627201976], ""type"": ""Point""}";49.268361627201976, -123.18495301971518
2020;N/A;3669;W 4TH AV;Okanagan Wine Cellars;Convenience Goods;2020;Kitsilano;"{""coordinates"": [-123.18507120127674, 49.268877426184055], ""type"": ""Point""}";49.268877426184055, -123.18507120127674
2023;N/A;3680;W 4TH AV;Rebecca Bree;Convenience Goods;2020;Kitsilano;"{""coordinates"": [-123.18535470629834, 49.26835530754138], ""type"": ""Point""}";49.26835530754138, -123.18535470629834
2025;N/A;3686;W 4TH AV;Beyond Bread Artisan Bakery;Convenience Goods;2020;Kitsilano;"{""coordinates"": [-123.18535470629834, 49.26835530754138], ""type"": ""Point""}";49.26835530754138, -123.18535470629834
2026;N/A;3687;W 4TH AV;Lufficio Restaurant;Food & Beverage;2020;Kitsilano;"{""coordinates"": [-123.1853475211078, 49.268881828076594], ""type"": ""Point""}";49.268881828076594, -123.1853475211078
2030;N/A;3698;W 4TH AV;Blenz Coffee;Food & Beverage;2020;Kitsilano;"{""coordinates"": [-123.18535470629834, 49.26835530754138], ""type"": ""Point""}";49.26835530754138, -123.18535470629834
2031;N/A;3750;W 4TH AV;Breka Downtown Bakery Café;Food & Beverage;2020;West Point Grey;"{""coordinates"": [-123.18637769134192, 49.26819526630278], ""type"": ""Point""}";49.26819526630278, -123.18637769134192
2037;N/A;3288;DUNBAR ST;Preventum Skin;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.1846858158127, 49.25758668797599], ""type"": ""Point""}";49.25758668797599, -123.1846858158127
2040;N/A;3308;DUNBAR ST;Gold Star Shoe Rebuilders;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.18472586352902, 49.25721201260662], ""type"": ""Point""}";49.25721201260662, -123.18472586352902
2043;N/A;3323;DUNBAR ST;Vacant;Vacant;2020;Dunbar-Southlands;"{""coordinates"": [-123.18550178029385, 49.257113209959144], ""type"": ""Point""}";49.257113209959144, -123.18550178029385
2045;N/A;3336;DUNBAR ST;Mai's Dry Cleaner;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.18472794532526, 49.25698621394523], ""type"": ""Point""}";49.25698621394523, -123.18472794532526
2049;N/A;3352;DUNBAR ST;Visual Space Gallery;Comparison Goods;2020;Dunbar-Southlands;"{""coordinates"": [-123.18472794532526, 49.25698621394523], ""type"": ""Point""}";49.25698621394523, -123.18472794532526
2052;N/A;3368;DUNBAR ST;Sunflower Spa;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.18473082594468, 49.256735110440175], ""type"": ""Point""}";49.256735110440175, -123.18473082594468
2053;N/A;3378;DUNBAR ST;Vacant;Vacant;2020;Dunbar-Southlands;"{""coordinates"": [-123.18473082594468, 49.256735110440175], ""type"": ""Point""}";49.256735110440175, -123.18473082594468
2056;N/A;3393;DUNBAR ST;Vacant;Vacant;2020;Dunbar-Southlands;"{""coordinates"": [-123.18550630716342, 49.256711670412955], ""type"": ""Point""}";49.256711670412955, -123.18550630716342
2058;N/A;3420;DUNBAR ST;Vacant;Vacant;2020;Dunbar-Southlands;"{""coordinates"": [-123.18473444523634, 49.256257735433756], ""type"": ""Point""}";49.256257735433756, -123.18473444523634
2060;N/A;3432;DUNBAR ST;La Canapa;Convenience Goods;2020;Dunbar-Southlands;"{""coordinates"": [-123.18473538300822, 49.256167291473275], ""type"": ""Point""}";49.256167291473275, -123.18473538300822
2070;120;3479;DUNBAR ST;Johnston Meier Insurance;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.1855065407093, 49.25603288519235], ""type"": ""Point""}";49.25603288519235, -123.1855065407093
2071;N/A;3479;DUNBAR ST;Hillhouse Education;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.1855065407093, 49.25603288519235], ""type"": ""Point""}";49.25603288519235, -123.1855065407093
2073;N/A;3496;DUNBAR ST;Pan Fo Si Meditation;Entertainment and Leisure;2020;Dunbar-Southlands;"{""coordinates"": [-123.18474005117592, 49.255715062687216], ""type"": ""Point""}";49.255715062687216, -123.18474005117592
2074;N/A;4168;DUNBAR ST;Life Chiropractor;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.1848317929129, 49.24928649338968], ""type"": ""Point""}";49.24928649338968, -123.1848317929129
2076;N/A;4188;DUNBAR ST;Doggy Darecare;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.1848317929129, 49.24928649338968], ""type"": ""Point""}";49.24928649338968, -123.1848317929129
2084;N/A;4221;DUNBAR ST;Café Artigiano;Food & Beverage;2020;Dunbar-Southlands;"{""coordinates"": [-123.18562638889289, 49.24848461035401], ""type"": ""Point""}";49.24848461035401, -123.18562638889289
2086;N/A;4238;DUNBAR ST;Top Cut Barber;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.18485131297993, 49.24874770524774], ""type"": ""Point""}";49.24874770524774, -123.18485131297993
2091;N/A;4288;DUNBAR ST;Wild Sushi;Food & Beverage;2020;Dunbar-Southlands;"{""coordinates"": [-123.18484104240629, 49.24824725743236], ""type"": ""Point""}";49.24824725743236, -123.18484104240629
2094;N/A;4295;DUNBAR ST;Buntain Insurance;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.18562638889289, 49.24848461035401], ""type"": ""Point""}";49.24848461035401, -123.18562638889289
2095;N/A;4298;DUNBAR ST;Dominos Pizza;Food & Beverage;2020;Dunbar-Southlands;"{""coordinates"": [-123.18484104240629, 49.24824725743236], ""type"": ""Point""}";49.24824725743236, -123.18484104240629
2099;N/A;4315;DUNBAR ST;Enmark Jewellers Ltd.;Comparison Goods;2020;Dunbar-Southlands;"{""coordinates"": [-123.18553479185725, 49.247866948573304], ""type"": ""Point""}";49.247866948573304, -123.18553479185725
2101;N/A;4326;DUNBAR ST;Shoppers Drug Mart;Convenience Goods;2020;Dunbar-Southlands;"{""coordinates"": [-123.18484106674339, 49.24752684070252], ""type"": ""Point""}";49.24752684070252, -123.18484106674339
2108;N/A;4395;DUNBAR ST;Bank of Montreal;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.1855587908832, 49.247299456380226], ""type"": ""Point""}";49.247299456380226, -123.1855587908832
2117;N/A;4497;DUNBAR ST;The Dunbar;Food & Beverage;2020;Dunbar-Southlands;"{""coordinates"": [-123.18567067500143, 49.24644160238141], ""type"": ""Point""}";49.24644160238141, -123.18567067500143
2123;N/A;4555;DUNBAR ST;Dunbar Theatre;Entertainment and Leisure;2020;Dunbar-Southlands;"{""coordinates"": [-123.18560056814317, 49.24555580730466], ""type"": ""Point""}";49.24555580730466, -123.18560056814317
2130;N/A;5520;DUNBAR ST;Elite Montessori;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.18502320602808, 49.23606979171254], ""type"": ""Point""}";49.23606979171254, -123.18502320602808
2144;N/A;5640;DUNBAR ST;Andrew Wilkinson MLA;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.18496584702586, 49.23519562939841], ""type"": ""Point""}";49.23519562939841, -123.18496584702586
2151;N/A;3636;W 16TH AV;Prime Personal Training;Entertainment and Leisure;2020;Dunbar-Southlands;"{""coordinates"": [-123.18594615572123, 49.25760592394863], ""type"": ""Point""}";49.25760592394863, -123.18594615572123
2157;N/A;3502;W 41ST AV;Bosley's Pet Food;Comparison Goods;2020;Dunbar-Southlands;"{""coordinates"": [-123.18249200185862, 49.234467269080305], ""type"": ""Point""}";49.234467269080305, -123.18249200185862
2159;N/A;3516;W 41ST AV;30 Minute Hit;Entertainment and Leisure;2020;Dunbar-Southlands;"{""coordinates"": [-123.18249200185862, 49.234467269080305], ""type"": ""Point""}";49.234467269080305, -123.18249200185862
2163;N/A;3535;W 41ST AV;Save on Foods;Convenience Goods;2020;Dunbar-Southlands;"{""coordinates"": [-123.1844283039008, 49.235082831970765], ""type"": ""Point""}";49.235082831970765, -123.1844283039008
2164;N/A;3536;W 41ST AV;Da Future Studio;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.18371473408153, 49.234493210944315], ""type"": ""Point""}";49.234493210944315, -123.18371473408153
2165;N/A;3548;W 41ST AV;Educational Book Supply;Comparison Goods;2020;Dunbar-Southlands;"{""coordinates"": [-123.18371473408153, 49.234493210944315], ""type"": ""Point""}";49.234493210944315, -123.18371473408153
2169;N/A;3556;W 41ST AV;Busy Bee Dry Cleaning;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.18371473408153, 49.234493210944315], ""type"": ""Point""}";49.234493210944315, -123.18371473408153
2173;N/A;3579;W 41ST AV;Southlands Dental Group;Service Commercial;2020;Dunbar-Southlands;"{""coordinates"": [-123.18488032341041, 49.23495748738697], ""type"": ""Point""}";49.23495748738697, -123.18488032341041
2178;N/A;3596;W 41ST AV;Shell Canada Limited;Automotive Goods & Services;2020;Dunbar-Southlands;"{""coordinates"": [-123.1849508424323, 49.234481503889555], ""type"": ""Point""}";49.234481503889555, -123.1849508424323
2181;N/A;1016;ALBERNI ST;LFX Jewelry;Comparison Goods;2020;West End;"{""coordinates"": [-123.12236084929206, 49.28402648462608], ""type"": ""Point""}";49.28402648462608, -123.12236084929206
2184;N/A;1032;ALBERNI ST;Black and Blue Restaurant;Food & Beverage;2020;West End;"{""coordinates"": [-123.12301925401955, 49.28445288453749], ""type"": ""Point""}";49.28445288453749, -123.12301925401955
2185;N/A;1033;ALBERNI ST;Rimowa;Comparison Goods;2020;West End;"{""coordinates"": [-123.12198907740935, 49.2845455907278], ""type"": ""Point""}";49.2845455907278, -123.12198907740935
2186;N/A;1035;ALBERNI ST;Jimmy Choo;Comparison Goods;2020;West End;"{""coordinates"": [-123.12198907740935, 49.2845455907278], ""type"": ""Point""}";49.2845455907278, -123.12198907740935
2187;N/A;1037;ALBERNI ST;Vacant;Vacant;2020;West End;"{""coordinates"": [-123.12198907740935, 49.2845455907278], ""type"": ""Point""}";49.2845455907278, -123.12198907740935
2190;N/A;1054;ALBERNI ST;Coast Restaurant;Food & Beverage;2020;West End;"{""coordinates"": [-123.12330968558508, 49.28464068115628], ""type"": ""Point""}";49.28464068115628, -123.12330968558508
2191;N/A;1055;ALBERNI ST;Vacheron Constantin Boutique;Comparison Goods;2020;West End;"{""coordinates"": [-123.12198907740935, 49.2845455907278], ""type"": ""Point""}";49.2845455907278, -123.12198907740935
2193;N/A;1061;ALBERNI ST;Oliver Peoples;Comparison Goods;2020;West End;"{""coordinates"": [-123.1228733215244, 49.28511832284714], ""type"": ""Point""}";49.28511832284714, -123.1228733215244
2196;101;1076;ALBERNI ST;Off White Vancouver;Comparison Goods;2020;West End;"{""coordinates"": [-123.12365339959302, 49.28486355788119], ""type"": ""Point""}";49.28486355788119, -123.12365339959302
2200;N/A;1092;ALBERNI ST;Tory Burch;Comparison Goods;2020;West End;"{""coordinates"": [-123.12365339959302, 49.28486355788119], ""type"": ""Point""}";49.28486355788119, -123.12365339959302
2203;N/A;1108;ALBERNI ST;Blu Bird;Comparison Goods;2020;West End;"{""coordinates"": [-123.12443709105067, 49.28537197473215], ""type"": ""Point""}";49.28537197473215, -123.12443709105067
2204;N/A;1119;ALBERNI ST;Rolex Boutique;Comparison Goods;2020;West End;"{""coordinates"": [-123.12415055654643, 49.285945646915266], ""type"": ""Point""}";49.285945646915266, -123.12415055654643
2205;N/A;1121;ALBERNI ST;The Keg Steakhouse + Bar;Food & Beverage;2020;West End;"{""coordinates"": [-123.12415055654643, 49.285945646915266], ""type"": ""Point""}";49.285945646915266, -123.12415055654643
2207;N/A;1136;ALBERNI ST;Neptune Chinese Kitchen;Food & Beverage;2020;West End;"{""coordinates"": [-123.12497781051809, 49.28572197263361], ""type"": ""Point""}";49.28572197263361, -123.12497781051809
2210;N/A;1158;ALBERNI ST;A&W Restaurant;Food & Beverage;2020;West End;"{""coordinates"": [-123.12566603139663, 49.2861674281454], ""type"": ""Point""}";49.2861674281454, -123.12566603139663
2211;N/A;1162;ALBERNI ST;Subway;Food & Beverage;2020;West End;"{""coordinates"": [-123.12566603139663, 49.2861674281454], ""type"": ""Point""}";49.2861674281454, -123.12566603139663
2215;N/A;1172;ALBERNI ST;Kirin Mandarin Restaurant;Food & Beverage;2020;West End;"{""coordinates"": [-123.12566603139663, 49.2861674281454], ""type"": ""Point""}";49.2861674281454, -123.12566603139663
2218;N/A;723;BURRARD ST;Tiffany & Co Canada;Comparison Goods;2020;West End;"{""coordinates"": [-123.12198907740935, 49.2845455907278], ""type"": ""Point""}";49.2845455907278, -123.12198907740935
2220;N/A;753;BURRARD ST;Wolford Canada Inc;Comparison Goods;2020;West End;"{""coordinates"": [-123.12236084929206, 49.28402648462608], ""type"": ""Point""}";49.28402648462608, -123.12236084929206
2222;202;755;BURRARD ST;Shabusen Japanese Yakiniku;Food & Beverage;2020;West End;"{""coordinates"": [-123.12236084929206, 49.28402648462608], ""type"": ""Point""}";49.28402648462608, -123.12236084929206
2235;N/A;820;BURRARD ST;Joey Burrard Grill;Food & Beverage;2020;Downtown;"{""coordinates"": [-123.1230968580031, 49.282678361394666], ""type"": ""Point""}";49.282678361394666, -123.1230968580031
2240;N/A;860;BURRARD ST;Italian Kitchen;Food & Beverage;2020;Downtown;"{""coordinates"": [-123.1230968580031, 49.282678361394666], ""type"": ""Point""}";49.282678361394666, -123.1230968580031
2241;101;888;BURRARD ST;Spence Diamonds Ltd;Comparison Goods;2020;Downtown;"{""coordinates"": [-123.12378574369022, 49.28222274385909], ""type"": ""Point""}";49.28222274385909, -123.12378574369022
2243;103;888;BURRARD ST;The Ballyhoo Public House;Food & Beverage;2020;Downtown;"{""coordinates"": [-123.12378574369022, 49.28222274385909], ""type"": ""Point""}";49.28222274385909, -123.12378574369022
2246;N/A;900;BURRARD ST;Famous Players Limited Partnership;Entertainment and Leisure;2020;Downtown;"{""coordinates"": [-123.12420172466877, 49.28157566920938], ""type"": ""Point""}";49.28157566920938, -123.12420172466877
2251;N/A;1015;BURRARD ST;Beyond Coffee;Food & Beverage;2020;West End;"{""coordinates"": [-123.12730583075536, 49.28102800353913], ""type"": ""Point""}";49.28102800353913, -123.12730583075536
2252;N/A;1015;BURRARD ST;Absolute Spa;Service Commercial;2020;West End;"{""coordinates"": [-123.12730583075536, 49.28102800353913], ""type"": ""Point""}";49.28102800353913, -123.12730583075536
2256;102;1100;BURRARD ST;Elysian Coffee #4 Inc;Food & Beverage;2020;Downtown;"{""coordinates"": [-123.12761958163081, 49.279688629437324], ""type"": ""Point""}";49.279688629437324, -123.12761958163081
2261;N/A;1200;BURRARD ST;TD Bank;Service Commercial;2020;Downtown;"{""coordinates"": [-123.12928611552073, 49.278586012016234], ""type"": ""Point""}";49.278586012016234, -123.12928611552073
2262;N/A;1228;BURRARD ST;NNB Barber Shop;Service Commercial;2020;Downtown;"{""coordinates"": [-123.12950686018802, 49.27843990971352], ""type"": ""Point""}";49.27843990971352, -123.12950686018802
2264;N/A;1237;BURRARD ST;Mink Lash Boutique;Service Commercial;2020;West End;"{""coordinates"": [-123.1302991091638, 49.278790450985134], ""type"": ""Point""}";49.278790450985134, -123.1302991091638
2265;N/A;1242;BURRARD ST;Performance Vision Optometry;Service Commercial;2020;Downtown;"{""coordinates"": [-123.12950686018802, 49.27843990971352], ""type"": ""Point""}";49.27843990971352, -123.12950686018802
2267;N/A;1253;BURRARD ST;Burrard Corner Store;Convenience Goods;2020;West End;"{""coordinates"": [-123.1308809125838, 49.27840772302635], ""type"": ""Point""}";49.27840772302635, -123.1308809125838
2271;N/A;1310;BURRARD ST;Vacant;Vacant;2020;Downtown;"{""coordinates"": [-123.13114764230289, 49.27736397555993], ""type"": ""Point""}";49.27736397555993, -123.13114764230289
2273;N/A;1315;BURRARD ST;Bees Knees;Comparison Goods;2020;West End;"{""coordinates"": [-123.13131502099768, 49.278056215925616], ""type"": ""Point""}";49.278056215925616, -123.13131502099768
2277;N/A;1344;BURRARD ST;Cycle City Tours and Rentals;Comparison Goods;2020;Downtown;"{""coordinates"": [-123.13114764230289, 49.27736397555993], ""type"": ""Point""}";49.27736397555993, -123.13114764230289
2279;1;1348;BURRARD ST;Minuteman Press;Service Commercial;2020;Downtown;"{""coordinates"": [-123.13114764230289, 49.27736397555993], ""type"": ""Point""}";49.27736397555993, -123.13114764230289
2283;N/A;1354;BURRARD ST;Burrard Dry Cleaner;Service Commercial;2020;Downtown;"{""coordinates"": [-123.13114764230289, 49.27736397555993], ""type"": ""Point""}";49.27736397555993, -123.13114764230289
2284;N/A;1361;BURRARD ST;Osaka Sushi;Food & Beverage;2020;West End;"{""coordinates"": [-123.13204136889718, 49.27776643317156], ""type"": ""Point""}";49.27776643317156, -123.13204136889718
2286;N/A;487;DAVIE ST;Sage Clinic;Service Commercial;2020;Downtown;"{""coordinates"": [-123.12353112288253, 49.27598491212113], ""type"": ""Point""}";49.27598491212113, -123.12353112288253
2289;N/A;508;DAVIE ST;Nuba Restaurant Group Inc;Food & Beverage;2020;Downtown;"{""coordinates"": [-123.12494132258297, 49.27577554498922], ""type"": ""Point""}";49.27577554498922, -123.12494132258297
2295;N/A;580;DAVIE ST;Vacant;Vacant;2020;Downtown;"{""coordinates"": [-123.1252108170835, 49.27614294595592], ""type"": ""Point""}";49.27614294595592, -123.1252108170835
2297;N/A;594;DAVIE ST;Royal Vape Inc;Convenience Goods;2020;Downtown;"{""coordinates"": [-123.1252108170835, 49.27614294595592], ""type"": ""Point""}";49.27614294595592, -123.1252108170835
2300;N/A;620;DAVIE ST;Manoush'eh;Food & Beverage;2020;Downtown;"{""coordinates"": [-123.12568082344094, 49.27661580200485], ""type"": ""Point""}";49.27661580200485, -123.12568082344094
2307;N/A;700;DAVIE ST;Blenz Coffee;Food & Beverage;2020;Downtown;"{""coordinates"": [-123.1266680104921, 49.27722958008942], ""type"": ""Point""}";49.27722958008942, -123.1266680104921
2308;N/A;708;DAVIE ST;Numero Uno Pizza;Food & Beverage;2020;Downtown;"{""coordinates"": [-123.1266680104921, 49.27722958008942], ""type"": ""Point""}";49.27722958008942, -123.1266680104921
2309;N/A;712;DAVIE ST;BC Produce;Convenience Goods;2020;Downtown;"{""coordinates"": [-123.1266680104921, 49.27722958008942], ""type"": ""Point""}";49.27722958008942, -123.1266680104921
2314;N/A;746;DAVIE ST;Body Energy Club Ltd;Convenience Goods;2020;Downtown;"{""coordinates"": [-123.12730553863715, 49.27735324868997], ""type"": ""Point""}";49.27735324868997, -123.12730553863715
2321;N/A;809;DAVIE ST;Topdrawers Apparel Inc;Comparison Goods;2020;Downtown;"{""coordinates"": [-123.12696559832357, 49.2783027028566], ""type"": ""Point""}";49.2783027028566, -123.12696559832357
2323;N/A;819;DAVIE ST;Javan Exchange;Service Commercial;2020;Downtown;"{""coordinates"": [-123.12696559832357, 49.2783027028566], ""type"": ""Point""}";49.2783027028566, -123.12696559832357
2324;N/A;823;DAVIE ST;Ace High Barber Shop Ltd;Service Commercial;2020;Downtown;"{""coordinates"": [-123.12696559832357, 49.2783027028566], ""type"": ""Point""}";49.2783027028566, -123.12696559832357
2330;N/A;855;DAVIE ST;Breka Bakery and Cafe Inc;Food & Beverage;2020;Downtown;"{""coordinates"": [-123.12749330080725, 49.27849937630124], ""type"": ""Point""}";49.27849937630124, -123.12749330080725
2332;N/A;903;DAVIE ST;Sushi Mugen;Food & Beverage;2020;Downtown;"{""coordinates"": [-123.1280489155382, 49.27885882652114], ""type"": ""Point""}";49.27885882652114, -123.1280489155382
2333;N/A;904;DAVIE ST;7-Eleven Store;Convenience Goods;2020;Downtown;"{""coordinates"": [-123.12856559763067, 49.27836105661689], ""type"": ""Point""}";49.27836105661689, -123.12856559763067
2339;N/A;937;DAVIE ST;ABC Jewellery & Loan Pawnbrokers Ltd;Comparison Goods;2020;Downtown;"{""coordinates"": [-123.12876943452235, 49.27908390295987], ""type"": ""Point""}";49.27908390295987, -123.12876943452235
2350;N/A;450;GRANVILLE ST;Trees Organic Coffee Co;Food & Beverage;2020;Downtown;"{""coordinates"": [-123.11441549633143, 49.28473749608962], ""type"": ""Point""}";49.28473749608962, -123.11441549633143
2356;N/A;480;GRANVILLE ST;Dunns Tailor;Comparison Goods;2020;Downtown;"{""coordinates"": [-123.11441549633143, 49.28473749608962], ""type"": ""Point""}";49.28473749608962, -123.11441549633143
2358;N/A;524;GRANVILLE ST;Moore's;Comparison Goods;2020;Downtown;"{""coordinates"": [-123.1151700269459, 49.28405605203843], ""type"": ""Point""}";49.28405605203843, -123.1151700269459
2362;N/A;541;GRANVILLE ST;Subway;Food & Beverage;2020;Downtown;"{""coordinates"": [-123.11594244835692, 49.28436310165463], ""type"": ""Point""}";49.28436310165463, -123.11594244835692
2363;N/A;545;GRANVILLE ST;Smak Healthy Fast Food;Food & Beverage;2020;Downtown;"{""coordinates"": [-123.11594244835692, 49.28436310165463], ""type"": ""Point""}";49.28436310165463, -123.11594244835692
2367;N/A;574;GRANVILLE ST;Cafe Crepe;Food & Beverage;2020;Downtown;"{""coordinates"": [-123.11564843483815, 49.28373930928332], ""type"": ""Point""}";49.28373930928332, -123.11564843483815
2368;N/A;586;GRANVILLE ST;Shoppers Drug Mart #2277;Convenience Goods;2020;Downtown;"{""coordinates"": [-123.11598007755025, 49.28351997406178], ""type"": ""Point""}";49.28351997406178, -123.11598007755025
2369;N/A;609;GRANVILLE ST;Meinhardt - Pacific Centre;Convenience Goods;2020;Downtown;"{""coordinates"": [-123.11775140601347, 49.28340057698826], ""type"": ""Point""}";49.28340057698826, -123.11775140601347
2371;N/A;610;GRANVILLE ST;Steve Nash Fitness World;Entertainment and Leisure;2020;Downtown;"{""coordinates"": [-123.11657971526182, 49.28312404797613], ""type"": ""Point""}";49.28312404797613, -123.11657971526182
2372;N/A;620;GRANVILLE ST;Yedina;Comparison Goods;2020;Downtown;"{""coordinates"": [-123.11657971526182, 49.28312404797613], ""type"": ""Point""}";49.28312404797613, -123.11657971526182
2375;N/A;640;GRANVILLE ST;Judith & Charles;Comparison Goods;2020;Downtown;"{""coordinates"": [-123.11657971526182, 49.28312404797613], ""type"": ""Point""}";49.28312404797613, -123.11657971526182
2377;N/A;670;GRANVILLE ST;FYI Eye Care Services;Comparison Goods;2020;Downtown;"{""coordinates"": [-123.11657971526182, 49.28312404797613], ""type"": ""Point""}";49.28312404797613, -123.11657971526182
2378;N/A;672;GRANVILLE ST;Mego;Comparison Goods;2020;Downtown;"{""coordinates"": [-123.11657971526182, 49.28312404797613], ""type"": ""Point""}";49.28312404797613, -123.11657971526182
2379;N/A;674;GRANVILLE ST;Topshop;Comparison Goods;2020;Downtown;"{""coordinates"": [-123.11699539053087, 49.28253253952624], ""type"": ""Point""}";49.28253253952624, -123.11699539053087
2382;R110;725;GRANVILLE ST;AllSaints;Comparison Goods;2020;Downtown;"{""coordinates"": [-123.11950088594357, 49.28224355654455], ""type"": ""Point""}";49.28224355654455, -123.11950088594357
2387;R128;725;GRANVILLE ST;Microsoft Canada Inc;Comparison Goods;2020;Downtown;"{""coordinates"": [-123.11950088594357, 49.28224355654455], ""type"": ""Point""}";49.28224355654455, -123.11950088594357
2388;R130;725;GRANVILLE ST;Disney Store Canada #788;Comparison Goods;2020;Downtown;"{""coordinates"": [-123.11950088594357, 49.28224355654455], ""type"": ""Point""}";49.28224355654455, -123.11950088594357
2392;N/A;728;GRANVILLE ST;Tom Lee Music Co Ltd;Comparison Goods;2020;Downtown;"{""coordinates"": [-123.11771301621158, 49.28182378500203], ""type"": ""Point""}";49.28182378500203, -123.11771301621158
2394;N/A;738;GRANVILLE ST;Trees Cheesecake;Convenience Goods;2020;Downtown;"{""coordinates"": [-123.1185132214996, 49.28184606128068], ""type"": ""Point""}";49.28184606128068, -123.1185132214996
2395;N/A;742;GRANVILLE ST;O Sushi;Food & Beverage;2020;Downtown;"{""coordinates"": [-123.1185132214996, 49.28184606128068], ""type"": ""Point""}";49.28184606128068, -123.1185132214996
2397;N/A;756;GRANVILLE ST;Sleep Country Canada Inc;Comparison Goods;2020;Downtown;"{""coordinates"": [-123.11901808141587, 49.28151188603057], ""type"": ""Point""}";49.28151188603057, -123.11901808141587
2398;N/A;762;GRANVILLE ST;Claire's Boutique;Comparison Goods;2020;Downtown;"{""coordinates"": [-123.11901808141587, 49.28151188603057], ""type"": ""Point""}";49.28151188603057, -123.11901808141587
2399;N/A;766;GRANVILLE ST;The Helly Hansen Store;Comparison Goods;2020;Downtown;"{""coordinates"": [-123.11901808141587, 49.28151188603057], ""type"": ""Point""}";49.28151188603057, -123.11901808141587
2402;N/A;796;GRANVILLE ST;Cafe Crepe;Food & Beverage;2020;Downtown;"{""coordinates"": [-123.11901808141587, 49.28151188603057], ""type"": ""Point""}";49.28151188603057, -123.11901808141587
2403;N/A;798;GRANVILLE ST;Best Buy;Comparison Goods;2020;Downtown;"{""coordinates"": [-123.11901808141587, 49.28151188603057], ""type"": ""Point""}";49.28151188603057, -123.11901808141587
2409;N/A;829;GRANVILLE ST;Taf's Cafe;Food & Beverage;2020;Downtown;"{""coordinates"": [-123.12062831986367, 49.281226495734586], ""type"": ""Point""}";49.281226495734586, -123.12062831986367
2412;N/A;833;GRANVILLE ST;Vacant;Vacant;2020;Downtown;"{""coordinates"": [-123.12070194523105, 49.281177817898296], ""type"": ""Point""}";49.281177817898296, -123.12070194523105
2418;N/A;855;GRANVILLE ST;Vacant UC;Vacant UC;2020;Downtown;"{""coordinates"": [-123.12110696595094, 49.28091005558472], ""type"": ""Point""}";49.28091005558472, -123.12110696595094
