TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2022,1,3,16,19,10XX ALBERNI ST,West End,491036.0799,5459145.9182
Break and Enter Commercial,2022,3,15,5,14,10XX ALBERNI ST,West End,491102.2439,5459092.4351
Break and Enter Commercial,2022,3,19,6,42,10XX ALBERNI ST,West End,491102.2439,5459092.4351
Break and Enter Commercial,2022,2,23,23,0,10XX BALFOUR AVE,Shaughnessy,490699.8049,5455444.0767
Break and Enter Commercial,2022,2,25,10,15,10XX BALFOUR AVE,Shaughnessy,490699.8049,5455444.0767
Break and Enter Commercial,2022,4,30,22,45,10XX BALFOUR AVE,Shaughnessy,490699.8049,5455444.0767
Break and Enter Commercial,2022,1,20,11,9,10XX BROUGHTON ST,West End,490247.1512,5459171.0415
Break and Enter Commercial,2022,1,11,3,3,10XX BROUGHTON ST,West End,490247.4903,5459171.3852
Break and Enter Commercial,2022,6,14,13,35,10XX BUTE ST,West End,490409.1263,5458906.3199
Break and Enter Commercial,2022,2,13,6,22,10XX CANADA PL,Central Business District,491493.3146,5459541.9753
Break and Enter Commercial,2022,1,7,6,2,10XX CANADA PL,Central Business District,491493.3778,5459541.9474
Break and Enter Commercial,2022,5,5,21,30,10XX CARDERO ST,West End,490097.1582,5459358.9589
Break and Enter Commercial,2022,4,3,0,0,10XX CLARK DR,Grandview-Woodland,494382.6035,5458098.4078
Break and Enter Commercial,2022,5,27,3,30,10XX DAVIE ST,West End,490460.8154,5458623.2441
Break and Enter Commercial,2022,2,2,0,24,10XX DAVIE ST,West End,490512.2892,5458572.4873
Break and Enter Commercial,2022,6,15,5,0,10XX DAVIE ST,West End,490529.3655,5458568.4908
Break and Enter Commercial,2022,6,20,4,14,10XX DAVIE ST,West End,490529.3655,5458568.4908
Break and Enter Commercial,2022,2,26,18,16,10XX DUNSMUIR ST,Central Business District,491237.7903,5459258.9505
Break and Enter Commercial,2022,1,21,3,30,10XX DUNSMUIR ST,Central Business District,491238.7326,5459258.6928
Break and Enter Commercial,2022,1,26,21,59,10XX DUNSMUIR ST,Central Business District,491238.7326,5459258.6928
Break and Enter Commercial,2022,1,20,22,0,10XX E 12TH AVE,Mount Pleasant,493942.0396,5456323.9102
Break and Enter Commercial,2022,1,25,21,0,10XX E 50TH AVE,Sunset,493883.5176,5452404.9326
Break and Enter Commercial,2022,3,23,13,37,10XX E BROADWAY AVE,Mount Pleasant,493947.3834,5456638.568
Break and Enter Commercial,2022,4,30,10,0,10XX E KENT AVE N,Sunset,493848.7416,5450670.2985
Break and Enter Commercial,2022,6,8,3,17,10XX GILFORD ST,West End,489762.5451,5459711.0275
Break and Enter Commercial,2022,1,31,4,45,10XX HARWOOD ST,West End,490369.9867,5458403.2681
Break and Enter Commercial,2022,3,17,3,39,10XX HOMER ST,Central Business District,491255.8833,5458279.1811
Break and Enter Commercial,2022,5,18,23,30,10XX HOMER ST,Central Business District,491258.1894,5458294.586
Break and Enter Commercial,2022,2,17,10,1,10XX HOWE ST,Central Business District,490891.0561,5458484.3504
Break and Enter Commercial,2022,5,13,14,5,10XX KINGSWAY AVE,Kensington-Cedar Cottage,493911.5598,5455681.4963
Break and Enter Commercial,2022,4,5,22,18,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.0258
Break and Enter Commercial,2022,1,2,9,0,10XX MAIN ST,Central Business District,492723.7706,5458103.8792
Break and Enter Commercial,2022,1,4,13,55,10XX MAINLAND ST,Central Business District,491259.565,5458118.3129
Break and Enter Commercial,2022,1,18,5,42,10XX MAINLAND ST,Central Business District,491279.0572,5458138.529
Break and Enter Commercial,2022,5,17,17,30,10XX MAINLAND ST,Central Business District,491279.6573,5458139.1521
Break and Enter Commercial,2022,4,8,6,20,10XX MAINLAND ST,Central Business District,491294.1327,5458167.3383
Break and Enter Commercial,2022,6,22,18,36,10XX MAINLAND ST,Central Business District,491323.2043,5458184.3174
Break and Enter Commercial,2022,5,21,14,24,10XX MARINASIDE CRES,Central Business District,491363.3924,5457865.2988
Break and Enter Commercial,2022,6,4,18,40,10XX MARINASIDE CRES,Central Business District,491363.3924,5457865.2988
Break and Enter Commercial,2022,6,18,12,30,10XX MARINASIDE CRES,Central Business District,491545.474,5457835.8202
Break and Enter Commercial,2022,6,4,12,5,10XX PACIFIC BLVD,Central Business District,491363.9003,5457969.3513
Break and Enter Commercial,2022,1,8,8,30,10XX PARKER ST,Strathcona,494080.0022,5458126.7591
Break and Enter Commercial,2022,1,22,20,15,10XX PARKER ST,Strathcona,494080.0022,5458126.7591
Break and Enter Commercial,2022,5,30,4,42,10XX RAYMUR AVE,Strathcona,494011.8703,5458691.2305
Break and Enter Commercial,2022,4,9,20,3,10XX RICHARDS ST,Central Business District,491127.0236,5458305.7226
Break and Enter Commercial,2022,5,23,6,15,10XX ROBSON ST,West End,490924.6317,5459091.0189
Break and Enter Commercial,2022,4,21,13,6,10XX ROBSON ST,West End,490930.2061,5459085.511
Break and Enter Commercial,2022,4,24,4,51,10XX ROBSON ST,West End,490948.0239,5459080.7589
Break and Enter Commercial,2022,4,28,4,49,10XX ROBSON ST,West End,490949.1698,5459066.7704
Break and Enter Commercial,2022,5,24,5,47,10XX ROBSON ST,West End,490981.4635,5459034.8584
Break and Enter Commercial,2022,3,27,0,49,10XX ROBSON ST,West End,491064.6557,5458965.5031
Break and Enter Commercial,2022,3,22,3,30,10XX SEYMOUR ST,Central Business District,491033.5778,5458334.346
Break and Enter Commercial,2022,2,14,0,0,10XX SMITHE ST,West End,490889.6581,5458932.8868
Break and Enter Commercial,2022,1,13,3,33,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2022,3,24,21,54,10XX VERNON DR,Strathcona,494274.836,5458072.496
Break and Enter Commercial,2022,4,21,4,20,10XX W 13TH AVE,Fairview,490699.7094,5456333.1993
Break and Enter Commercial,2022,3,13,19,29,10XX W 15TH AVE,Fairview,490661.6896,5456122.0101
Break and Enter Commercial,2022,5,9,6,21,10XX W 15TH AVE,Fairview,490661.6896,5456122.0101
Break and Enter Commercial,2022,2,3,12,42,10XX W 42ND AVE,Oakridge,490657.8843,5453363.0487
Break and Enter Commercial,2022,4,12,20,37,10XX W 58TH AVE,Marpole,490608.9169,5451723.8118
Break and Enter Commercial,2022,5,11,5,15,10XX W BROADWAY AVE,Fairview,490680.1407,5456743.9956
Break and Enter Commercial,2022,1,11,0,18,10XX W BROADWAY AVE,Fairview,490755.7444,5456742.0604
Break and Enter Commercial,2022,1,25,5,17,10XX W GEORGIA ST,Central Business District,491115.752,5459163.1779
Break and Enter Commercial,2022,3,27,5,33,10XX W KING EDWARD AVE,Shaughnessy,490656.6077,5455187.0869
Break and Enter Commercial,2022,4,15,11,19,10XX W PENDER ST,Central Business District,491263.9592,5459407.5907
Break and Enter Commercial,2022,4,11,6,8,10XX W PENDER ST,Central Business District,491366.2987,5459367.0446
Break and Enter Commercial,2022,2,11,4,50,11XX ALBERNI ST,West End,491001.9697,5459192.9578
Break and Enter Commercial,2022,5,9,4,45,11XX BURRARD ST,Central Business District,490652.9912,5458531.3632
Break and Enter Commercial,2022,3,10,23,0,11XX CHESTNUT ST,Kitsilano,489371.2179,5458168.0532
Break and Enter Commercial,2022,4,9,5,0,11XX CHESTNUT ST,Kitsilano,489371.2179,5458168.0532
Break and Enter Commercial,2022,4,20,13,42,11XX DAVIE ST,West End,490331.5625,5458754.8592
Break and Enter Commercial,2022,3,9,13,33,11XX DENMAN ST,West End,489715.3524,5459422.986
Break and Enter Commercial,2022,5,11,8,50,11XX E 45TH AVE,Sunset,494016.1229,5452927.83
Break and Enter Commercial,2022,3,8,7,12,11XX E PENDER ST,Strathcona,494166.864,5458585.1249
Break and Enter Commercial,2022,5,19,19,0,11XX GILFORD ST,West End,489675.857,5459611.2429
Break and Enter Commercial,2022,2,11,15,0,11XX GILFORD ST,West End,489677.2724,5459612.6816
Break and Enter Commercial,2022,2,25,1,0,11XX GRANVILLE ST,Central Business District,490849.4359,5458295.9346
Break and Enter Commercial,2022,3,10,19,0,11XX GRANVILLE ST,Central Business District,490849.4359,5458295.9346
Break and Enter Commercial,2022,5,19,4,50,11XX GRANVILLE ST,Central Business District,490852.5747,5458312.0559
Break and Enter Commercial,2022,2,11,5,48,11XX GRANVILLE ST,Central Business District,490883.6102,5458343.2561
Break and Enter Commercial,2022,2,9,11,29,11XX GRANVILLE ST,Central Business District,490885.5183,5458332.2084
Break and Enter Commercial,2022,4,19,8,0,11XX GRANVILLE ST,Central Business District,490890.0931,5458336.8074
Break and Enter Commercial,2022,5,24,4,30,11XX GRANVILLE ST,Central Business District,490912.4289,5458372.2277
Break and Enter Commercial,2022,1,4,11,53,11XX HAMILTON ST,Central Business District,491169.8317,5458106.3448
Break and Enter Commercial,2022,5,23,12,11,11XX HARWOOD ST,West End,490252.9624,5458533.8334
Break and Enter Commercial,2022,3,17,6,38,11XX HOMER ST,Central Business District,491104.8139,5458126.4139
Break and Enter Commercial,2022,2,1,14,45,11XX HOMER ST,Central Business District,491118.2287,5458139.7575
Break and Enter Commercial,2022,1,8,18,50,11XX HORNBY ST,Central Business District,490765.3084,5458508.2562
Break and Enter Commercial,2022,6,2,7,1,11XX KINGSWAY AVE,Kensington-Cedar Cottage,494115.304,5455524.7121
Break and Enter Commercial,2022,5,31,19,30,11XX KINGSWAY AVE,Kensington-Cedar Cottage,494165.7394,5455488.7734
Break and Enter Commercial,2022,5,2,21,35,11XX MAIN ST,Central Business District,492720.2567,5457977.1068
Break and Enter Commercial,2022,4,3,0,14,11XX MAIN ST,Central Business District,492721.0099,5457998.7443
Break and Enter Commercial,2022,5,1,4,33,11XX MAINLAND ST,Central Business District,491142.8658,5458001.6305
Break and Enter Commercial,2022,2,22,5,32,11XX MAINLAND ST,Central Business District,491154.474,5458026.0031
Break and Enter Commercial,2022,6,20,3,24,11XX MAINLAND ST,Central Business District,491165.7514,5458037.1762
Break and Enter Commercial,2022,1,18,4,48,11XX MAINLAND ST,Central Business District,491197.3282,5458068.4608
Break and Enter Commercial,2022,2,5,15,0,11XX MELVILLE ST,Central Business District,491076.9743,5459365.1598
Break and Enter Commercial,2022,4,9,23,42,11XX MELVILLE ST,Central Business District,491078.0856,5459364.0845
Break and Enter Commercial,2022,4,22,11,40,11XX PENDRELL ST,West End,490468.1037,5458772.9459
Break and Enter Commercial,2022,3,1,9,18,11XX RICHARDS ST,Central Business District,491058.183,5458236.7356
Break and Enter Commercial,2022,4,11,3,30,11XX ROBSON ST,West End,490807.3948,5459220.9589
Break and Enter Commercial,2022,4,25,5,9,11XX ROBSON ST,West End,490827.3798,5459188.0745
Break and Enter Commercial,2022,3,15,4,55,11XX ROBSON ST,West End,490865.5807,5459149.92
Break and Enter Commercial,2022,1,14,16,14,11XX ROBSON ST,West End,490909.5334,5459106.0202
Break and Enter Commercial,2022,5,13,12,0,11XX SEYMOUR ST,Central Business District,490997.8219,5458311.1957
Break and Enter Commercial,2022,3,26,14,0,11XX VERNON DR,Strathcona,494273.6322,5457999.8731
Break and Enter Commercial,2022,4,27,7,10,11XX VERNON DR,Strathcona,494273.6322,5457999.8731
Break and Enter Commercial,2022,1,22,6,38,11XX W CORDOVA ST,Central Business District,491131.6171,5459616.1289
Break and Enter Commercial,2022,5,7,4,10,11XX W GEORGIA ST,Central Business District,490985.6886,5459291.6878
Break and Enter Commercial,2022,5,7,3,10,11XX W GEORGIA ST,Central Business District,490997.9348,5459279.6198
Break and Enter Commercial,2022,1,22,18,0,11XX W PENDER ST,Central Business District,491187.9805,5459452.1543
Break and Enter Commercial,2022,3,22,4,28,11XX W PENDER ST,Central Business District,491220.8681,5459437.205
Break and Enter Commercial,2022,1,30,6,57,11XX WILLIAM ST,Strathcona,494196.0232,5457932.3133
Break and Enter Commercial,2022,2,21,9,25,12XX ALBERNI ST,West End,490834.0469,5459342.8923
Break and Enter Commercial,2022,6,18,0,0,12XX BURNABY ST,West End,490160.1534,5458766.5387
Break and Enter Commercial,2022,1,17,9,33,12XX BURNABY ST,West End,490160.1998,5458766.4917
Break and Enter Commercial,2022,6,11,20,20,12XX BURRARD ST,West End,490559.3651,5458450.4361
Break and Enter Commercial,2022,6,6,10,38,12XX CARDERO ST,West End,489828.1978,5459089.1808
Break and Enter Commercial,2022,2,19,11,51,12XX DAVIE ST,West End,490261.2386,5458825.3135
Break and Enter Commercial,2022,5,4,4,5,12XX DAVIE ST,West End,490261.2386,5458825.3135
Break and Enter Commercial,2022,2,21,20,44,12XX DAVIE ST,West End,490266.4749,5458820.1549
Break and Enter Commercial,2022,1,11,3,44,12XX E 12TH AVE,Mount Pleasant,494348.9159,5456325.7816
Break and Enter Commercial,2022,3,5,9,0,12XX E 2ND AVE,Strathcona,494287.6423,5457341.6658
Break and Enter Commercial,2022,4,17,15,30,12XX E 2ND AVE,Strathcona,494287.6423,5457341.6658
Break and Enter Commercial,2022,4,17,17,38,12XX E 2ND AVE,Strathcona,494360.9946,5457340.254
Break and Enter Commercial,2022,3,19,21,30,12XX E 63RD AVE,Sunset,494122.2864,5451118.9261
Break and Enter Commercial,2022,5,31,3,45,12XX E HASTINGS ST,Strathcona,494373.5721,5458740.0945
Break and Enter Commercial,2022,3,27,3,0,12XX E PENDER ST,Strathcona,494315.5427,5458623.3293
Break and Enter Commercial,2022,2,12,13,0,12XX E PENDER ST,Strathcona,494352.5672,5458631.2352
Break and Enter Commercial,2022,2,9,21,0,12XX FRANCES ST,Strathcona,494273.9004,5458524.1362
Break and Enter Commercial,2022,1,5,0,15,12XX GRANVILLE ST,Central Business District,490711.4545,5458168.033
Break and Enter Commercial,2022,2,8,3,22,12XX HAMILTON ST,Central Business District,491003.286,5457952.4561
Break and Enter Commercial,2022,4,5,3,50,12XX HARWOOD ST,West End,490097.7062,5458687.3502
Break and Enter Commercial,2022,4,7,5,20,12XX HARWOOD ST,West End,490097.7062,5458687.3502
Break and Enter Commercial,2022,3,4,8,0,12XX HOMER ST,Central Business District,490977.8194,5457999.5501
Break and Enter Commercial,2022,1,1,22,0,12XX HOMER ST,Central Business District,491002.1164,5458023.9432
Break and Enter Commercial,2022,3,16,4,21,12XX HOMER ST,Central Business District,491030.8311,5458052.7713
Break and Enter Commercial,2022,4,11,21,30,12XX HOWE ST,Central Business District,490652.1533,5458256.1886
Break and Enter Commercial,2022,1,29,11,46,12XX HOWE ST,Central Business District,490735.2885,5458339.4652
Break and Enter Commercial,2022,5,24,3,5,12XX KINGSWAY AVE,Kensington-Cedar Cottage,494189.8606,5455471.4598
Break and Enter Commercial,2022,1,5,18,0,12XX KINGSWAY AVE,Kensington-Cedar Cottage,494214.0571,5455470.8166
Break and Enter Commercial,2022,5,19,4,52,12XX KINGSWAY AVE,Kensington-Cedar Cottage,494241.6543,5455425.5902
Break and Enter Commercial,2022,5,14,5,10,12XX KINGSWAY AVE,Kensington-Cedar Cottage,494247.7224,5455429.1486
Break and Enter Commercial,2022,5,21,5,6,12XX KINGSWAY AVE,Kensington-Cedar Cottage,494302.7305,5455379.3311
Break and Enter Commercial,2022,4,12,0,45,12XX MAIN ST,Central Business District,492717.8328,5457907.3966
Break and Enter Commercial,2022,2,15,2,59,12XX MARINASIDE CRES,Central Business District,491201.6589,5457735.3235
Break and Enter Commercial,2022,3,24,3,20,12XX MARINASIDE CRES,Central Business District,491266.5625,5457795.0761
Break and Enter Commercial,2022,3,9,1,56,12XX ODLUM DR,Grandview-Woodland,494481.1527,5457828.1824
Break and Enter Commercial,2022,4,20,18,0,12XX ODLUM DR,Grandview-Woodland,494481.1527,5457828.1824
Break and Enter Commercial,2022,2,22,5,33,12XX PACIFIC BLVD,Central Business District,491071.5187,5457900.6399
Break and Enter Commercial,2022,5,9,16,15,12XX RICHARDS ST,Central Business District,490873.7648,5458036.119
Break and Enter Commercial,2022,3,13,17,30,12XX RICHARDS ST,Central Business District,490922.1059,5458085.9277
Break and Enter Commercial,2022,1,6,2,23,12XX ROBSON ST,West End,490672.1132,5459356.1019
Break and Enter Commercial,2022,2,11,7,30,12XX ROBSON ST,West End,490694.6097,5459320.7013
Break and Enter Commercial,2022,5,2,12,19,12XX ROBSON ST,West End,490715.6504,5459299.6809
Break and Enter Commercial,2022,2,11,0,8,12XX SEYMOUR ST,Central Business District,490805.3723,5458105.3711
Break and Enter Commercial,2022,1,31,2,36,12XX SEYMOUR ST,Central Business District,490806.8322,5458106.8447
Break and Enter Commercial,2022,2,15,5,50,12XX W 12TH AVE,Fairview,490274.4171,5456452.1616
Break and Enter Commercial,2022,3,26,15,0,12XX W 38TH AVE,Shaughnessy,490350.0685,5453802.1752
Break and Enter Commercial,2022,6,5,14,0,12XX W 48TH AVE,Oakridge,490215.845,5452772.1856
Break and Enter Commercial,2022,4,8,17,30,12XX W 73RD AVE,Marpole,490272.8824,5450168.4733
Break and Enter Commercial,2022,5,23,9,17,12XX W 77TH AVE,Marpole,490192.2923,5449800.1796
Break and Enter Commercial,2022,4,20,14,41,12XX W BROADWAY AVE,Fairview,490414.2173,5456760.3095
Break and Enter Commercial,2022,4,18,2,0,12XX W BROADWAY AVE,Fairview,490414.2173,5456760.3095
Break and Enter Commercial,2022,2,9,2,56,12XX W GEORGIA ST,Central Business District,490801.1422,5459474.3096
Break and Enter Commercial,2022,4,4,0,0,12XX W GEORGIA ST,Central Business District,490844.865,5459430.8445
Break and Enter Commercial,2022,6,11,21,13,12XX W HASTINGS ST,Central Business District,490992.0884,5459600.4215
Break and Enter Commercial,2022,1,14,1,37,12XX W HASTINGS ST,Central Business District,491023.488,5459585.8138
Break and Enter Commercial,2022,3,5,4,53,12XX W HASTINGS ST,Central Business District,491023.488,5459585.8138
Break and Enter Commercial,2022,4,18,0,0,13XX ADANAC ST,Grandview-Woodland,494396.7329,5458321.6243
Break and Enter Commercial,2022,1,3,19,12,13XX ALBERNI ST,West End,490666.5311,5459517.0571
Break and Enter Commercial,2022,2,7,1,50,13XX ALBERNI ST,West End,490700.6544,5459484.513
Break and Enter Commercial,2022,6,9,3,0,13XX BURRARD ST,Central Business District,490409.456,5458288.5075
Break and Enter Commercial,2022,1,3,5,0,13XX BUTE ST,West End,490161.8499,5458657.1232
Break and Enter Commercial,2022,1,1,11,52,13XX BUTE ST,West End,490171.0339,5458653.4215
Break and Enter Commercial,2022,5,29,5,26,13XX BUTE ST,West End,490171.7589,5458654.1587
Break and Enter Commercial,2022,1,29,6,26,13XX COMMERCIAL DR,Grandview-Woodland,494942.0326,5457760.1763
Break and Enter Commercial,2022,4,10,3,45,13XX DAVIE ST,West End,490097.2669,5459000.7876
Break and Enter Commercial,2022,5,28,3,42,13XX DAVIE ST,West End,490126.2501,5458971.8965
Break and Enter Commercial,2022,6,5,10,0,13XX DISCOVERY ST,West Point Grey,485246.8717,5458027.4871
Break and Enter Commercial,2022,1,16,5,19,13XX E 12TH AVE,Kensington-Cedar Cottage,494376.0822,5456316.4627
Break and Enter Commercial,2022,1,30,8,0,13XX E 1ST AVE,Grandview-Woodland,494436.008,5457429.5914
Break and Enter Commercial,2022,1,13,17,0,13XX E HASTINGS ST,Grandview-Woodland,494419.2444,5458739.2092
Break and Enter Commercial,2022,1,1,0,0,13XX E KENT AVE N,Sunset,494146.7128,5450708.371
Break and Enter Commercial,2022,1,8,12,51,13XX E KENT AVE N,Sunset,494146.7128,5450708.371
Break and Enter Commercial,2022,1,16,0,0,13XX E KENT AVE N,Sunset,494146.7128,5450708.371
Break and Enter Commercial,2022,1,23,0,0,13XX E KENT AVE N,Sunset,494146.7128,5450708.371
Break and Enter Commercial,2022,1,30,14,39,13XX E KENT AVE N,Sunset,494146.7128,5450708.371
Break and Enter Commercial,2022,2,9,5,0,13XX E KENT AVE N,Sunset,494146.7128,5450708.371
Break and Enter Commercial,2022,2,22,14,6,13XX E KENT AVE N,Sunset,494146.7128,5450708.371
Break and Enter Commercial,2022,3,7,19,0,13XX E KENT AVE N,Sunset,494146.7128,5450708.371
Break and Enter Commercial,2022,1,12,11,6,13XX E KENT AVE S,Sunset,494137.8159,5450678.6668
Break and Enter Commercial,2022,5,18,21,30,13XX GRAVELEY ST,Grandview-Woodland,494417.886,5457531.542
Break and Enter Commercial,2022,2,22,12,45,13XX HARWOOD ST,West End,489982.1939,5458802.5653
Break and Enter Commercial,2022,1,3,10,54,13XX HORNBY ST,Central Business District,490495.2398,5458234.8932
Break and Enter Commercial,2022,1,28,1,50,13XX HORNBY ST,Central Business District,490495.2398,5458234.8932
Break and Enter Commercial,2022,3,19,15,0,13XX HOWE ST,Central Business District,490565.4463,5458169.3364
Break and Enter Commercial,2022,1,22,0,27,13XX JERVIS ST,West End,489988.409,5458694.4324
Break and Enter Commercial,2022,1,11,6,18,13XX JERVIS ST,West End,490041.9713,5458762.2657
Break and Enter Commercial,2022,6,20,3,30,13XX KINGSWAY AVE,Kensington-Cedar Cottage,494448.0967,5455282.6135
Break and Enter Commercial,2022,6,30,3,43,13XX KINGSWAY AVE,Kensington-Cedar Cottage,494448.0967,5455282.6135
Break and Enter Commercial,2022,2,3,19,45,13XX NELSON ST,West End,490330.5796,5459217.3571
Break and Enter Commercial,2022,6,23,14,40,13XX NICOLA ST,West End,489779.1502,5458862.0216
Break and Enter Commercial,2022,2,21,6,15,13XX RICHARDS ST,Central Business District,490833.7723,5457995.6889
Break and Enter Commercial,2022,4,20,4,25,13XX RICHARDS ST,Central Business District,490835.981,5457997.8622
Break and Enter Commercial,2022,3,1,16,45,13XX W 11TH AVE,Fairview,490119.7683,5456547.169
Break and Enter Commercial,2022,5,13,7,16,13XX W 67TH AVE,Marpole,490137.8255,5450895.287
Break and Enter Commercial,2022,2,8,18,0,13XX W GEORGIA ST,West End,490695.4261,5459565.9646
Break and Enter Commercial,2022,4,22,21,0,14XX BARCLAY ST,West End,490342.8284,5459363.4756
Break and Enter Commercial,2022,5,27,12,2,14XX COMMERCIAL DR,Grandview-Woodland,494940.4005,5457669.3161
Break and Enter Commercial,2022,1,5,4,30,14XX COMMERCIAL DR,Grandview-Woodland,494940.7752,5457692.1863
Break and Enter Commercial,2022,5,23,4,55,14XX E 41ST AVE,Victoria-Fraserview,494409.0105,5453316.1714
Break and Enter Commercial,2022,6,17,8,43,14XX E BROADWAY AVE,Kensington-Cedar Cottage,494637.3891,5456619.7963
Break and Enter Commercial,2022,1,8,14,0,14XX GRANVILLE ST,Central Business District,490524.4017,5457970.2186
Break and Enter Commercial,2022,6,2,2,45,14XX GRANVILLE ST,Central Business District,490555.8967,5458001.9688
Break and Enter Commercial,2022,3,7,15,1,14XX HARO ST,West End,490470.2061,5459401.2324
Break and Enter Commercial,2022,6,7,13,2,14XX HARWOOD ST,West End,489881.6969,5458901.4873
Break and Enter Commercial,2022,1,17,13,46,14XX HARWOOD ST,West End,489920.5768,5458850.8093
Break and Enter Commercial,2022,4,3,11,7,14XX HARWOOD ST,West End,489920.5768,5458850.8093
Break and Enter Commercial,2022,2,14,10,0,14XX LAMEYS MILL RD,Fairview,490007.6948,5457360.3881
Break and Enter Commercial,2022,2,16,23,8,14XX LAMEYS MILL RD,Fairview,490007.6948,5457360.3881
Break and Enter Commercial,2022,6,6,7,14,14XX LAMEYS MILL RD,Fairview,490113.9073,5457232.0174
Break and Enter Commercial,2022,6,7,15,58,14XX PENNYFARTHING DR,Fairview,489676.0907,5457754.0673
Break and Enter Commercial,2022,6,4,12,53,14XX PENNYFARTHING DR,Fairview,489714.4974,5457650.9104
Break and Enter Commercial,2022,2,13,13,48,14XX PENNYFARTHING DR,Fairview,489734.6938,5457789.7878
Break and Enter Commercial,2022,4,10,17,55,14XX QUEBEC ST,Mount Pleasant,492586.2532,5457734.6766
Break and Enter Commercial,2022,2,26,6,19,14XX ROBSON ST,West End,490477.6092,5459535.5363
Break and Enter Commercial,2022,5,2,16,51,14XX W 15TH AVE,Fairview,489947.5109,5456150.4771
Break and Enter Commercial,2022,2,14,21,0,14XX W 6TH AVE,Fairview,490011.9596,5457049.4044
Break and Enter Commercial,2022,3,11,0,40,14XX W GEORGIA ST,West End,490628.9295,5459632.7902
Break and Enter Commercial,2022,2,4,7,59,14XX W GEORGIA ST,Central Business District,490664.9304,5459609.2937
Break and Enter Commercial,2022,2,28,20,0,14XX WALNUT ST,Kitsilano,489169.8061,5457842.7645
Break and Enter Commercial,2022,3,8,6,36,14XX WILLIAM ST,Grandview-Woodland,494540.2306,5457923.7314
Break and Enter Commercial,2022,5,17,17,0,14XX WILLIAM ST,Grandview-Woodland,494540.2306,5457923.7314
Break and Enter Commercial,2022,3,22,2,14,15XX ALBERNI ST,West End,490481.6141,5459687.9442
Break and Enter Commercial,2022,6,8,3,23,15XX ALBERNI ST,West End,490481.6141,5459687.9442
Break and Enter Commercial,2022,1,7,7,57,15XX BOUNDARY RD,Hastings-Sunrise,498273.5953,5457510.695
Break and Enter Commercial,2022,1,16,13,46,15XX BOUNDARY RD,Hastings-Sunrise,498273.5953,5457510.695
Break and Enter Commercial,2022,4,20,9,54,15XX BURNABY ST,West End,489872.8568,5459050.8658
Break and Enter Commercial,2022,5,20,16,47,15XX BURNABY ST,West End,489907.1326,5459029.9093
Break and Enter Commercial,2022,1,4,19,0,15XX COMMERCIAL DR,Grandview-Woodland,494938.4919,5457561.5541
Break and Enter Commercial,2022,1,1,3,54,15XX COMOX ST,West End,490125.8866,5459265.2998
Break and Enter Commercial,2022,1,10,10,0,15XX E 4TH AVE,Grandview-Woodland,494735.7596,5457122.948
Break and Enter Commercial,2022,2,18,10,9,15XX E 55TH AVE,Victoria-Fraserview,494582.7156,5451871.4411
Break and Enter Commercial,2022,1,30,10,14,15XX E 8TH AVE,Grandview-Woodland,494699.3635,5456731.2422
Break and Enter Commercial,2022,4,24,4,45,15XX HOWE ST,Central Business District,490413.3335,5458003.6908
Break and Enter Commercial,2022,2,14,9,45,15XX ROBSON ST,West End,490441.61,5459583.9461
Break and Enter Commercial,2022,4,11,15,30,15XX VICTORIA DR,Grandview-Woodland,495222.3898,5457612.2675
Break and Enter Commercial,2022,5,6,14,17,15XX W 28TH AVE,Shaughnessy,489824.27,5454863.0108
Break and Enter Commercial,2022,1,7,5,16,15XX W 2ND AVE,Fairview,489827.9865,5457441.996
Break and Enter Commercial,2022,4,20,23,0,15XX W 65TH AVE,Marpole,489758.7156,5451066.2188
Break and Enter Commercial,2022,6,20,10,5,15XX W 8TH AVE,Fairview,489857.5964,5456875.4953
Break and Enter Commercial,2022,5,27,2,30,15XX W BROADWAY AVE,Fairview,489844.0303,5456773.5554
Break and Enter Commercial,2022,4,11,17,26,16XX ALBERNI ST,West End,490375.9294,5459792.9718
Break and Enter Commercial,2022,3,19,3,25,16XX BEACH AVE,West End,489681.3949,5458937.0073
Break and Enter Commercial,2022,1,8,10,45,16XX CHESTNUT ST,Kitsilano,489345.3352,5457576.7632
Break and Enter Commercial,2022,6,20,4,19,16XX COMMERCIAL DR,Grandview-Woodland,494936.3329,5457449.8903
Break and Enter Commercial,2022,5,11,9,51,16XX DAVIE ST,West End,489834.5511,5459246.8882
Break and Enter Commercial,2022,5,24,4,0,16XX DURANLEAU ST,Fairview,490106.4169,5457737.8729
Break and Enter Commercial,2022,1,28,0,0,16XX E 4TH AVE,Grandview-Woodland,494833.5907,5457131.2908
Break and Enter Commercial,2022,6,3,1,46,16XX KINGSWAY AVE,Kensington-Cedar Cottage,494839.5496,5455015.443
Break and Enter Commercial,2022,3,11,20,19,16XX KINGSWAY AVE,Kensington-Cedar Cottage,494862.4563,5454987.947
Break and Enter Commercial,2022,1,20,3,26,16XX KINGSWAY AVE,Kensington-Cedar Cottage,494883.1389,5454973.2492
