TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,RECENCY
Other Theft,2022,4,18,1,0,ABBOTT ST / W PENDER ST,Central Business District,492175.4371,5458706.8534,59
Other Theft,2022,3,12,16,30,ALBERNI ST / BURRARD ST,West End,491151.7655,5459036.2265,96
Other Theft,2022,2,21,3,0,ALBERNI ST / THURLOW ST,West End,491003.6115,5459185.0023,115
Other Theft,2022,5,12,20,5,ALDER CRSS / W 6TH AVE,Fairview,490389.3968,5457052.3948,35
Other Theft,2022,4,5,15,30,ALEXANDER ST / COLUMBIA ST,Central Business District,492570.1599,5459009.3691,72
Other Theft,2022,1,5,8,18,ALEXANDER ST / GORE AVE,Strathcona,492884.8125,5459039.5913,162
Other Theft,2022,4,25,18,0,ALMA ST / W 10TH AVE,Kitsilano,486474.7701,5456763.0665,52
Other Theft,2022,3,31,13,0,ANDERSON ST / JOHNSTON ST,Fairview,490178.7294,5457692.7106,77
Other Theft,2022,4,26,17,0,ANDERSON ST / JOHNSTON ST,Fairview,490178.7294,5457692.7106,51
Other Theft,2022,1,11,13,30,ARBUTUS ST / W 16TH AVE,Arbutus Ridge,488874.767,5456069.6543,156
Other Theft,2022,4,22,22,0,ARBUTUS ST / W 16TH AVE,Arbutus Ridge,488874.767,5456069.6543,55
Other Theft,2022,3,15,1,23,BARCLAY ST / BURRARD ST,West End,490911.1598,5458799.38,93
Other Theft,2022,5,19,22,30,BEACH AVE / DENMAN ST,West End,489648.383,5459360.9703,28
Other Theft,2022,1,6,10,30,BEATTY ST / W GEORGIA ST,Central Business District,491835.3334,5458445.4738,161
Other Theft,2022,3,28,8,0,BELMONT AVE / TOLMIE ST,West Point Grey,484595.8489,5457908.0452,80
Other Theft,2022,5,8,6,16,BROUGHTON ST / W HASTINGS ST,Central Business District,490780.0006,5459701.1735,39
Other Theft,2022,2,5,15,17,BURRARD ST / DRAKE ST,West End,490487.3211,5458372.8118,131
Other Theft,2022,1,9,13,10,BURRARD ST / DUNSMUIR ST,Central Business District,491317.4369,5459212.3574,158
Other Theft,2022,2,14,12,0,BURRARD ST / W 4TH AVE,Fairview,489404.7672,5457259.6245,122
Other Theft,2022,2,20,8,40,BURRARD ST / W 4TH AVE,Fairview,489404.7672,5457259.6245,116
Other Theft,2022,5,13,11,10,BURRARD ST / W GEORGIA ST,West End,491193.2022,5459080.028,34
Other Theft,2022,5,4,21,30,BUTE ST / DAVIE ST,West End,490301.4015,5458792.1619,43
Other Theft,2022,5,4,11,58,BUTE ST / NELSON ST,West End,490531.2673,5459023.2531,43
Other Theft,2022,4,22,16,15,BUTE ST / W GEORGIA ST,West End,490885.8447,5459383.6591,55
Other Theft,2022,5,22,23,16,BUTE ST / W PENDER ST,Central Business District,491027.554,5459520.0552,25
Other Theft,2022,3,2,13,42,CAMBIE ST / W 49TH AVE,Oakridge,491506.6601,5452595.2974,106
Other Theft,2022,3,17,17,56,CAMBIE ST / W 6TH AVE,Fairview,491641.2667,5456986.1373,91
Other Theft,2022,1,27,14,30,CAMBIE ST / W 8TH AVE,Fairview,491641.6578,5456817.7806,140
Other Theft,2022,1,30,13,0,CAMBIE ST / W GEORGIA ST,Central Business District,491761.0361,5458513.5211,137
Other Theft,2022,5,13,22,0,CAMBIE ST / W KING EDWARD AVE,South Cambie,491594.3716,5455134.4764,34
Other Theft,2022,4,5,23,40,CARDERO ST / W GEORGIA ST,West End,490503.4762,5459766.6684,72
Other Theft,2022,3,20,15,52,CARRALL ST / E HASTINGS ST,Central Business District,492412.3453,5458751.9902,88
Other Theft,2022,3,25,11,13,CARRALL ST / E HASTINGS ST,Central Business District,492412.3483,5458751.9869,83
Other Theft,2022,2,26,0,14,CLARK DR / E 8TH AVE,Grandview-Woodland,494359.3926,5456732.7141,110
Other Theft,2022,1,7,4,40,COLUMBIA ST / E CORDOVA ST,Central Business District,492565.3681,5458848.6444,160
Other Theft,2022,1,18,23,50,COLUMBIA ST / E CORDOVA ST,Central Business District,492565.3681,5458848.6444,149
Other Theft,2022,3,26,20,1,COLUMBIA ST / E HASTINGS ST,Central Business District,492562.434,5458743.6228,82
Other Theft,2022,4,24,14,32,COLUMBIA ST / E PENDER ST,Central Business District,492561.8384,5458637.2021,53
Other Theft,2022,3,5,18,15,COLUMBIA ST / POWELL ST,Central Business District,492568.4772,5458948.1492,103
Other Theft,2022,1,28,23,50,COMMERCIAL DR / E BROADWAY AVE,Kensington-Cedar Cottage,494921.9032,5456620.4272,139
Other Theft,2022,1,31,8,57,COMMERCIAL DR / E BROADWAY AVE,Kensington-Cedar Cottage,494921.9032,5456620.4272,136
Other Theft,2022,2,12,21,21,COMMERCIAL DR / E BROADWAY AVE,Kensington-Cedar Cottage,494921.9032,5456620.4272,124
Other Theft,2022,3,22,20,8,COMMERCIAL DR / E BROADWAY AVE,Kensington-Cedar Cottage,494921.9032,5456620.4272,86
Other Theft,2022,4,10,16,23,COMMERCIAL DR / E BROADWAY AVE,Kensington-Cedar Cottage,494921.9032,5456620.4272,67
Other Theft,2022,4,15,21,43,COMMERCIAL DR / E BROADWAY AVE,Kensington-Cedar Cottage,494921.9032,5456620.4272,62
Other Theft,2022,4,23,14,30,COMMERCIAL DR / E BROADWAY AVE,Kensington-Cedar Cottage,494921.9032,5456620.4272,54
Other Theft,2022,5,10,4,45,COMMERCIAL DR / E BROADWAY AVE,Kensington-Cedar Cottage,494921.9032,5456620.4272,37
Other Theft,2022,5,4,23,30,COMMERCIAL DR / E HASTINGS ST,Grandview-Woodland,494879.8653,5458723.9695,43
Other Theft,2022,2,4,10,40,COMMERCIAL DR / GRANDVIEW HWY N,Grandview-Woodland,494923.9672,5456775.6637,132
Other Theft,2022,4,21,22,45,COMMERCIAL DR / MCSPADDEN AVE,Grandview-Woodland,494928.4219,5457077.2985,56
Other Theft,2022,1,24,15,56,CONTINENTAL ST / DRAKE ST,Central Business District,490661.7942,5458201.0881,143
Other Theft,2022,4,1,12,45,CORNISH ST / W 68TH AVE,Marpole,489654.7489,5450870.796,76
Other Theft,2022,2,14,18,30,CROWLEY DR / JOYCE ST,Renfrew-Collingwood,497624.6545,5453858.0309,122
Other Theft,2022,3,1,12,30,DAVIE ST / DENMAN ST,West End,489686.5487,5459400.7087,107
Other Theft,2022,4,1,4,44,DAVIE ST / DENMAN ST,West End,489686.5487,5459400.7087,76
Other Theft,2022,4,29,18,19,DAVIE ST / GRANVILLE ST,Central Business District,490821.3138,5458274.1462,48
Other Theft,2022,4,25,17,0,DAVIE ST / HORNBY ST,Central Business District,490680.2603,5458413.5032,52
Other Theft,2022,4,12,1,46,DAVIE ST / MAINLAND ST,Central Business District,491115.8213,5457981.2723,65
Other Theft,2022,4,28,14,30,DAVIE ST / RICHARDS ST,Central Business District,490961.8124,5458133.405,49
Other Theft,2022,1,2,19,30,DAVIE ST / THURLOW ST,West End,490456.6507,5458633.7717,165
Other Theft,2022,3,31,12,0,DRAKE ST / RICHARDS ST,Central Business District,490847.272,5458015.3865,77
Other Theft,2022,3,23,14,35,DUNDAS ST / N SLOCAN ST,Hastings-Sunrise,496413.076,5459114.7662,85
Other Theft,2022,4,22,23,25,DUNLEVY AVE / E PENDER ST,Strathcona,493058.4251,5458620.3552,55
Other Theft,2022,5,14,14,15,DUNSMUIR ST / GRANVILLE ST,Central Business District,491535.5975,5458993.2215,33
Other Theft,2022,4,24,10,0,DUNSMUIR ST / HORNBY ST,Central Business District,491393.3974,5459134.0403,53
Other Theft,2022,5,4,0,30,DUNSMUIR ST / SEYMOUR ST,Central Business District,491607.5141,5458920.9821,43
Other Theft,2022,1,3,19,54,E 10TH AVE / KINGSWAY AVE,Mount Pleasant,492821.0485,5456583.5353,164
Other Theft,2022,2,16,0,2,E 11TH AVE / MAIN ST,Mount Pleasant,492653.7889,5456488.0794,120
Other Theft,2022,4,10,15,0,E 11TH AVE / SEMLIN DR,Kensington-Cedar Cottage,495343.3523,5456405.9732,67
Other Theft,2022,3,11,6,0,E 1ST AVE / RUPERT ST,Hastings-Sunrise,497540.3138,5457420.1167,97
Other Theft,2022,4,19,18,28,E 22ND AVE / MAIN ST,Riley Park,492651.1174,5455359.8847,58
Other Theft,2022,4,26,21,16,E 41ST AVE / FRASER ST,Riley Park,493407.6947,5453341.8347,51
Other Theft,2022,1,31,18,2,E 41ST AVE / FRASER ST,Riley Park,493407.6951,5453341.8346,136
Other Theft,2022,4,2,23,0,E 41ST AVE / MAIN ST,Sunset,492609.3018,5453375.7767,75
Other Theft,2022,1,27,17,15,E 41ST AVE / ST MARGARETS ST,Renfrew-Collingwood,495879.9297,5453339.4193,140
Other Theft,2022,5,18,18,15,E 45TH AVE / FRASER ST,Sunset,493401.3182,5452935.3051,29
Other Theft,2022,5,9,13,30,E 47TH AVE / FRASER ST,Sunset,493396.1571,5452735.1281,38
Other Theft,2022,2,18,12,0,E 51ST AVE / ONTARIO ST,Oakridge,492284.7639,5452341.4975,118
Other Theft,2022,4,19,20,0,E 5TH AVE / WOODLAND DR,Grandview-Woodland,494647.1844,5457031.1509,58
Other Theft,2022,2,11,14,22,E 61ST AVE / ROSS ST,Sunset,493943.9279,5451323.4557,125
Other Theft,2022,3,10,13,20,E BROADWAY AVE / FRASER ST,Mount Pleasant,493514.7984,5456639.1484,98
Other Theft,2022,2,6,19,10,E BROADWAY AVE / KINGSWAY AVE,Mount Pleasant,492749.521,5456683.8049,130
Other Theft,2022,4,26,16,14,E BROADWAY AVE / ONTARIO ST,Mount Pleasant,492368.8574,5456699.8393,51
Other Theft,2022,2,24,15,0,E GEORGIA ST / MAIN ST,Strathcona,492743.2453,5458428.5255,112
Other Theft,2022,2,27,16,30,E GEORGIA ST / MAIN ST,Strathcona,492743.2456,5458428.5255,109
Other Theft,2022,4,17,23,0,E HASTINGS ST / JACKSON AVE,Strathcona,493205.0711,5458724.5948,60
Other Theft,2022,2,26,16,0,E HASTINGS ST / MAIN ST,Strathcona,492749.7912,5458737.3828,110
Other Theft,2022,3,15,9,30,E HASTINGS ST / MAIN ST,Strathcona,492749.7912,5458737.3828,93
Other Theft,2022,2,25,12,0,E HASTINGS ST / MAIN ST,Strathcona,492749.7913,5458737.3828,111
